Time_UTC_Start,open,high,low,close,volume,quote_asset_volume,number_of_trades,base_asset_volume,quote_asset_volume,label
2018-07-25 12:00:00,8184.6,8184.6,8177.13,8180.83,33.934028,277612.80669075,178.0,20.706058,169397.02403225,0.0
2018-07-25 13:00:00,8201.02,8214.45,8200.0,8210.87,29.927299,245697.32619218,217.0,23.284236,191172.51633325,1.0
2018-07-25 14:00:00,8197.44,8202.17,8195.02,8202.17,28.049183,229986.06408777,191.0,18.01276,147699.269885,1.0
2018-07-25 15:00:00,8190.78,8193.44,8190.77,8192.32,31.648016,259285.19698122,78.0,27.382234,224338.91011236,1.0
2018-07-25 16:00:00,8114.96,8147.0,8090.0,8096.87,107.94237,875717.6650683,467.0,54.100413,439142.53243992,0.0
2018-07-25 17:00:00,8170.02,8170.05,8167.16,8170.04,7.846121,64098.16107473,157.0,4.84111,39550.10617408,1.0
2018-07-25 18:00:00,8128.7,8132.1,8120.79,8125.28,14.161548,115076.85291828,147.0,6.740128,54787.29048042,0.0
2018-07-25 19:00:00,8076.1,8080.01,8075.09,8079.92,28.795136,232598.8223653,118.0,18.689333,150978.8276089,1.0
2018-07-25 20:00:00,8166.97,8171.59,8160.09,8169.76,17.309188,141376.60421021,178.0,11.708573,95642.76968111,1.0
2018-07-25 21:00:00,8194.56,8194.64,8182.87,8186.32,35.666521,292131.12199478,181.0,16.161747,132382.73565561,0.0
2018-07-25 22:00:00,8290.0,8290.1,8288.97,8290.1,16.040398,132966.0688759,127.0,11.18712,92735.06988168,1.0
2018-07-25 23:00:00,8270.86,8270.88,8270.0,8270.01,11.723667,96959.15214465,110.0,7.120006,58886.78050793,0.0
2018-07-26 00:00:00,8175.63,8184.85,8175.63,8182.56,21.221628,173610.4619031,149.0,14.321735,117175.24254662,1.0
2018-07-26 01:00:00,8244.1,8247.0,8242.7,8242.97,32.875235,270996.04798815,111.0,10.43162,85993.74004776,0.0
2018-07-26 02:00:00,8218.53,8221.0,8217.55,8218.58,36.875028,303059.44437941,66.0,1.231349,10121.08729873,1.0
2018-07-26 03:00:00,8202.18,8206.87,8200.06,8206.87,17.037514,139766.4623203,112.0,8.062316,66139.75454772,1.0
2018-07-26 04:00:00,8228.23,8233.94,8227.01,8233.49,14.685906,120858.87317525,97.0,8.098949,66656.00394621,1.0
2018-07-26 05:00:00,8226.43,8234.39,8226.43,8230.0,9.821462,80822.30847531,112.0,6.329975,52095.21800169,1.0
2018-07-26 06:00:00,8196.37,8202.75,8193.03,8197.51,9.225862,75635.49141806,90.0,4.893013,40117.58828142,1.0
2018-07-26 07:00:00,8269.03,8279.91,8269.0,8274.97,47.392205,392127.26638158,185.0,38.827919,321272.62109651,1.0
2018-07-26 08:00:00,8245.85,8252.04,8241.57,8252.02,6.521024,53777.16510685,97.0,4.676607,38569.02283216,1.0
2018-07-26 09:00:00,8253.27,8261.92,8251.0,8256.1,39.179563,323550.25495711,144.0,18.308647,151196.96665186,1.0
2018-07-26 10:00:00,8274.9,8277.4,8271.32,8276.39,59.886182,495607.95603284,149.0,48.750709,403458.79995699,1.0
2018-07-26 11:00:00,8290.48,8294.0,8287.11,8290.0,25.121517,208263.32228822,174.0,9.330418,77352.43975247,0.0
2018-07-26 12:00:00,8255.29,8260.0,8251.95,8253.08,28.77014,237510.38905695,123.0,19.817905,163617.15645369,0.0
2018-07-26 13:00:00,8237.98,8238.0,8233.0,8233.58,8.185841,67428.24132922,116.0,5.683184,46814.90997369,0.0
2018-07-26 14:00:00,8219.03,8227.8,8219.03,8225.02,27.243443,224032.76256758,213.0,11.867227,97587.81856511,1.0
2018-07-26 15:00:00,8229.98,8233.0,8226.68,8232.95,14.604975,120206.79409625,127.0,10.200712,83964.49354048,1.0
2018-07-26 16:00:00,8208.29,8208.29,8204.02,8205.0,7.276574,59706.50423356,113.0,2.064277,16938.7956803,0.0
2018-07-26 17:00:00,8209.4,8211.0,8206.0,8208.85,11.509183,94489.09058465,102.0,8.545776,70162.62207062,0.0
2018-07-26 18:00:00,8219.31,8228.88,8218.43,8227.5,25.052802,205988.12576366,157.0,19.60492,161199.99287202,1.0
2018-07-26 19:00:00,8245.29,8252.4,8241.29,8249.14,56.387465,465037.71362153,178.0,35.065766,289212.76074337,1.0
2018-07-26 20:00:00,8261.1,8261.1,8244.95,8249.06,62.798079,518129.0319263,274.0,41.03957,338616.92857941,0.0
2018-07-26 21:00:00,8145.72,8159.99,8140.04,8140.89,68.103481,554962.92034203,399.0,28.291773,230613.08517097,0.0
2018-07-26 22:00:00,7972.3,7975.55,7952.71,7957.61,74.060403,589748.63487655,463.0,36.870811,293584.05820691,0.0
2018-07-26 23:00:00,7917.0,7919.5,7886.0,7886.67,325.136483,2568543.44011723,1577.0,52.890859,417857.15943825,0.0
2018-07-27 00:00:00,7920.0,7932.15,7920.0,7930.0,54.478433,431792.26418688,238.0,34.51353,273524.53125748,1.0
2018-07-27 01:00:00,7909.33,7912.38,7909.09,7912.0,15.616115,123530.79499712,138.0,11.491172,90901.51886177,1.0
2018-07-27 02:00:00,7892.8,7900.78,7892.8,7898.43,33.682344,266044.29542159,193.0,19.011525,150167.73835843,1.0
2018-07-27 03:00:00,7879.98,7879.98,7873.62,7875.0,24.126918,190026.4609688,139.0,15.092105,118873.59484569,0.0
2018-07-27 04:00:00,7886.9,7897.43,7885.17,7896.14,34.349449,271033.9848555,150.0,25.102589,198087.18860874,1.0
